,answer,topic,tm,original,questions_equivalent
75,no,中国民乐,170.815,你认为中国民乐是否应该被更多的人了解和欣赏？,no
76,yes,中国民乐,170.815,你认为中国民乐是否能代表中国传统文化？,yes
77,no,中国诗词,401.376,你是否认为中国诗词的传承和发展对于保护和弘扬中国文化有重要意义？,no
78,no,中国诗词,401.376,你是否认为中国诗词的创作需要较高的文化素养和艺术才能？,no
79,yes,中国诗词,401.376,你是否认为中国诗词的学习和研究对于提高语言艺术修养有重要作用？,yes
80,yes,中国诗词,401.376,你是否认为中国诗词的韵律和意境对于理解中国文化有帮助？,yes
81,no,中国诗词,401.376,你认为中国诗词是中国文化的重要组成部分吗？,no
82,no,中国园林,85.324,中国园林是否对世界园林艺术产生了影响？,no
83,yes,中国园林,85.324,中国园林是否是中国文化的重要组成部分？,yes
84,no,中国园林,85.324,中国园林是否是中国旅游业的重要吸引力之一？,no
85,no,中国园林,85.324,中国园林的保护和维护是否对中国的文化遗产保护有重要意义？,no
86,yes,中国园林,85.324,中国园林的设计和布局是否反映了中国的哲学思想？,yes
