,answer,topic,tm,original,questions_equivalent
24,no,デジタル庁設立,22.496,デジタル庁の設立により、プライバシー保護が弱まると思いますか？そう思わないですか？,no
25,yes,デジタル庁設立,22.496,デジタル庁の設立により、行政の透明性が向上すると思いますか？そう思わないですか？,yes
26,no,デジタル庁設立,22.496,デジタル庁の設立により、行政サービスの質が向上すると思いますか？そう思わないですか？,no
27,no,デジタル庁設立,22.496,デジタル庁の設立により、行政手続きの効率化が進むと思いますか？そう思わないですか？,no
28,yes,女性の社会進出,171.58,企業は女性のワークライフバランスを支援するための政策を導入すべきだと思いますか？,yes
29,no,女性の社会進出,171.58,女性が家庭と仕事を両立することは、社会全体の生産性を向上させると思いますか？,no
30,no,女性の社会進出,171.58,女性のリーダーシップは男性のそれと同等またはそれ以上に効果的だと思いますか？,no
31,yes,女性の社会進出,171.58,女性の社会進出が進むことで、男性の機会が奪われると思いますか？,yes
32,no,女性の社会進出,171.58,女性の社会進出を支持しますか？,no
33,yes,五輪開催,233.478,あなたは新型コロナウイルスの影響下での五輪開催に賛成ですか？,yes
34,yes,五輪開催,233.478,五輪開催による感染拡大のリスクは許容範囲内だと思いますか？,yes
35,yes,五輪開催,233.478,五輪開催による経済的な負担は許容範囲内だと思いますか？,yes
36,yes,五輪開催,233.478,五輪開催は日本の国際的な評価を高めると思いますか？,yes
37,yes,五輪開催,233.478,五輪開催は日本の経済を活性化させると思いますか？,yes
38,no,森友学園問題,35.605,森友学園問題について政府の説明は信頼できると思いますか？,no
39,no,プラスチック廃棄物,16.677,プラスチック製品のリサイクルを義務化すべきですか？,no
40,yes,プラスチック廃棄物,16.677,プラスチック製品の代替品を開発するための研究に公的資金を投じるべきですか？,yes
41,yes,プラスチック廃棄物,16.677,プラスチック製品の使用を減らすための法律を制定すべきですか？,yes
42,no,プラスチック廃棄物,16.677,プラスチック製品の製造業者に環境税を課すべきですか？,no
43,no,プラスチック廃棄物,16.677,プラスチック製品の輸入を制限すべきですか？,no
44,no,働き方改革,14.818,あなたは働き方改革による労働者保護が十分に行われていると思いますか？,no
45,yes,働き方改革,14.818,あなたは働き方改革を支持しますか？,yes
46,yes,働き方改革,14.818,あなたは柔軟な働き方の推進が必要だと思いますか？,yes
47,no,働き方改革,14.818,あなたは長時間労働の是正が必要だと思いますか？,no
48,no,介護難民,53.311,介護サービスの質を向上させるためには、公的資金の増加が必要だと思いますか？,no
49,no,介護難民,53.311,介護難民問題は現在の政策で解決可能だと思いますか？,no
50,no,介護難民,53.311,地域包括ケアシステムの構築は必要だと思いますか？,no
51,no,教育格差,28.646,学習支援のための公的資金の増加を支持しますか？,no
52,yes,教育格差,28.646,教育格差を解消するためには、富裕層への課税を強化すべきだと思いますか？,yes
53,yes,医療崩壊,13.736,医療体制の強化には、税金を増やすべきだと思いますか？「はい」または「いいえ」,yes
54,yes,医療崩壊,13.736,医療崩壊を防ぐために、一部の病院をコロナ専門病院にするべきだと思いますか？「はい」または「いいえ」,yes
55,no,医療崩壊,13.736,医療従事者の負担軽減のために、政府はもっと積極的な支援をすべきだと思いますか？「はい」または「いいえ」,no
56,yes,消費税増税,64.152,消費税の増税は国の財政健全化に寄与すると思いますか？,yes
57,yes,消費税増税,64.152,消費税の増税は必要な措置だと思いますか？,yes
58,yes,消費税増税,64.152,消費税の増税は生活者の負担を増やすと思いますか？,yes
59,yes,消費税増税,64.152,消費税の増税は経済に悪影響を及ぼすと思いますか？,yes
60,yes,デフレ脱却,18.393,あなたはデフレ脱却が日本経済にとって必要だと思いますか？,yes
61,yes,デフレ脱却,18.393,あなたはデフレ脱却のためにはインフレをある程度許容するべきだと思いますか？,yes
62,yes,デフレ脱却,18.393,あなたはデフレ脱却のためには政府の積極的な財政出動が必要だと思いますか？,yes
63,no,デフレ脱却,18.393,あなたは経済成長戦略によるデフレ脱却を支持しますか？,no
64,no,デフレ脱却,18.393,あなたは金融政策によるデフレ脱却を支持しますか？,no
65,yes,地方創生,35.951,地方創生のためには、国が積極的に財政支援を行うべきだと思いますか？,yes
66,yes,地方創生,35.951,地方創生のためには、地方での起業や新産業の育成を推進すべきだと思いますか？,yes
67,yes,地方創生,35.951,地方創生のためには、地方特産品のブランド化や観光資源の開発を進めるべきだと思いますか？,yes
68,yes,地方創生,35.951,地方創生のためには、都市部からの人口移動を促進すべきだと思いますか？,yes
69,no,カジノ解禁,84.123,あなたはカジノ解禁に賛成ですか？「はい」または「いいえ」,no
70,yes,カジノ解禁,84.123,カジノ解禁による治安悪化を心配していますか？「はい」または「いいえ」,yes
71,yes,カジノ解禁,84.123,カジノ解禁による税収増加は、社会問題の悪化を補うと思いますか？「はい」または「いいえ」,yes
72,no,カジノ解禁,84.123,カジノ解禁による経済活性化は、ギャンブル依存症のリスクを上回ると思いますか？「はい」または「いいえ」,no
73,yes,カジノ解禁,84.123,カジノ解禁は観光業にプラスになると思いますか？「はい」または「いいえ」,yes
74,yes,貧困問題,120.049,子どもの貧困対策として、全ての子どもに無料の学校給食を提供すべきだと思いますか？,yes
75,yes,貧困問題,120.049,生活保護の基準を見直し、より厳格にするべきだと思いますか？,yes
76,no,貧困問題,120.049,社会保障制度を拡充し、貧困層の生活を支えるべきだと思いますか？,no
77,yes,貧困問題,120.049,貧困問題は個々の努力によって解決すべきだと思いますか？,yes
78,no,貧困問題,120.049,貧困問題解決のために、最低賃金を引き上げるべきだと思いますか？,no
79,yes,ヘイトスピーチ,69.01,ヘイトスピーチに対する社会的な教育や啓発活動が必要だと思いますか？,yes
80,yes,ヘイトスピーチ,69.01,ヘイトスピーチは個々の意見の表現であり、規制すべきではないと思いますか？,yes
81,yes,ヘイトスピーチ,69.01,ヘイトスピーチは表現の自由を侵害すると思いますか？,yes
82,yes,ヘイトスピーチ,69.01,ヘイトスピーチを法律で規制すべきだと思いますか？,yes
83,yes,ヘイトスピーチ,69.01,ヘイトスピーチを行った者に対する罰則が必要だと思いますか？,yes
