,answer,topic,tm,original,questions_equivalent
20,yes,Waffenexporte,184.147,Sollte die Regierung strengere Kontrollen für Waffenexporte einführen?,yes
21,yes,Gendergerechte Sprache,92.047,"Denken Sie, dass die Einführung von gendergerechter Sprache die deutsche Sprache unnötig verkompliziert?",yes
22,yes,Gendergerechte Sprache,92.047,"Glauben Sie, dass die Verwendung von gendergerechter Sprache Diskriminierung abbauen kann?",yes
23,no,Gendergerechte Sprache,92.047,"Sollte die deutsche Sprache verändert werden, um Geschlechtergerechtigkeit zu fördern?",no
24,yes,Gendergerechte Sprache,92.047,"Sollten öffentliche Institutionen verpflichtet werden, gendergerechte Sprache zu verwenden?",yes
25,yes,Ehe für alle,109.162,Ist die Ehe für alle eine Frage der Gleichberechtigung?,yes
26,yes,Ehe für alle,109.162,Sollte die Ehe ausschließlich zwischen einem Mann und einer Frau sein?,yes
27,yes,Ehe für alle,109.162,Sollte die Gesellschaft die Ehe für alle akzeptieren?,yes
28,yes,Ehe für alle,109.162,Sollten gleichgeschlechtliche Paare das Recht haben zu heiraten?,yes
29,yes,Ehe für alle,109.162,Untergräbt die Ehe für alle die traditionelle Definition der Ehe?,yes
30,yes,Tempolimit auf Autobahnen,114.526,Ist die Freiheit des Fahrens wichtiger als die potenziellen Vorteile eines Tempolimits?,yes
31,yes,Tempolimit auf Autobahnen,114.526,Könnte ein Tempolimit auf Autobahnen zur Reduzierung der CO2-Emissionen beitragen?,yes
32,yes,Tempolimit auf Autobahnen,114.526,Sollte ein generelles Tempolimit auf deutschen Autobahnen eingeführt werden?,yes
33,yes,Tempolimit auf Autobahnen,114.526,Würde ein Tempolimit auf Autobahnen die Verkehrssicherheit erhöhen?,yes
34,no,Homeschooling,190.254,Fördert Homeschooling die Bildungsvielfalt?,no
35,yes,Homeschooling,190.254,Kann Homeschooling die soziale Integration von Kindern beeinträchtigen?,yes
36,yes,Homeschooling,190.254,Kann Homeschooling individuelle Bedürfnisse besser berücksichtigen als traditionelle Schulen?,yes
37,yes,Homeschooling,190.254,Können Bildungsstandards in einem Homeschooling-Umfeld aufrechterhalten werden?,yes
38,no,Homeschooling,190.254,"Sollten Eltern das Recht haben, ihre Kinder zu Hause zu unterrichten?",no
39,yes,Gentechnik,102.424,"Sind die potenziellen Risiken und Nebenwirkungen der Gentechnik zu groß, um sie zu rechtfertigen?",yes
40,yes,Gentechnik,102.424,"Sollte Gentechnik in der Landwirtschaft eingesetzt werden, um die Ernährungssicherheit zu verbessern?",yes
41,yes,Gentechnik,102.424,"Sollte Gentechnik in der Medizin eingesetzt werden, um Krankheiten zu heilen oder zu verhindern?",yes
42,yes,Gentechnik,102.424,Sollte die Forschung und Entwicklung in der Gentechnik von der Regierung stärker reguliert werden?,yes
43,yes,Gentechnik,102.424,Sollten ethische Bedenken die Verwendung von Gentechnik einschränken?,yes
44,yes,Geschlechterquote,140.439,"Glauben Sie, dass eine Geschlechterquote die Leistung und Qualifikationen untergräbt?",yes
45,yes,Geschlechterquote,140.439,"Ist die Geschlechterquote notwendig, um Gleichberechtigung zu fördern?",yes
46,yes,Geschlechterquote,140.439,"Könnte eine Geschlechterquote dazu führen, dass weniger qualifizierte Personen befördert werden?",yes
47,yes,Geschlechterquote,140.439,Sollte die Auswahl für Führungspositionen ausschließlich auf der Grundlage von Qualifikationen und nicht auf dem Geschlecht erfolgen?,yes
48,yes,Geschlechterquote,140.439,"Sollten Unternehmen gesetzlich verpflichtet sein, eine bestimmte Anzahl von Frauen in Führungspositionen zu haben?",yes
49,yes,Flüchtlingspolitik,531.528,Sollte Deutschland mehr Flüchtlinge aufnehmen?,yes
50,yes,Flüchtlingspolitik,531.528,Sollte die Integration von Flüchtlingen in die deutsche Gesellschaft stärker gefördert werden?,yes
51,yes,Flüchtlingspolitik,531.528,Sollte die deutsche Flüchtlingspolitik restriktiver gestaltet werden?,yes
52,yes,Flüchtlingspolitik,531.528,Sollte die deutsche Regierung mehr finanzielle Ressourcen für die Unterstützung von Flüchtlingen bereitstellen?,yes
53,yes,Digitalisierung,32.163,Sollte die Digitalisierung in Deutschland schneller vorangetrieben werden?,yes
54,yes,Digitalisierung,32.163,"Sollte die Regierung Maßnahmen ergreifen, um Arbeitsplätze zu schützen, die durch die Digitalisierung bedroht sind?",yes
55,no,Digitalisierung,32.163,Sollte die Regierung mehr in die Digitalisierung von Schulen und Bildungseinrichtungen investieren?,no
56,no,Digitalisierung,32.163,"Sollten Unternehmen stärker dazu ermutigt werden, digitale Technologien einzusetzen, um ihre Wettbewerbsfähigkeit zu erhöhen?",no
57,no,Bildungspolitik,129.452,"Glauben Sie, dass eine stärkere Zentralisierung der Bildungspolitik zu mehr Chancengleichheit führen würde?",no
58,no,Bildungspolitik,129.452,"Glauben Sie, dass eine stärkere Zentralisierung und Standardisierung die Qualität der Bildung beeinträchtigen könnte?",no
59,no,Bildungspolitik,129.452,Sollte das Bildungssystem in Deutschland stärker zentralisiert und standardisiert werden?,no
60,no,Bildungspolitik,129.452,Sollte es einheitliche Bildungsstandards für alle Schulen in Deutschland geben?,no
61,no,Bildungspolitik,129.452,Sollten die Bundesländer weiterhin die Hauptverantwortung für die Bildungspolitik tragen?,no
62,yes,Prostitution,40.232,Fördert die Legalisierung der Prostitution Ihrer Meinung nach den Menschenhandel?,yes
63,yes,Prostitution,40.232,Sollte Prostitution in Deutschland verboten werden?,yes
64,yes,Prostitution,40.232,Sollte Prostitution in Deutschland vollständig legalisiert werden?,yes
65,yes,Prostitution,40.232,"Sollte die Regierung mehr Maßnahmen ergreifen, um Prostituierte vor Ausbeutung zu schützen?",yes
66,no,Prostitution,40.232,Sollten Prostituierte mehr Rechte und Schutz erhalten?,no
67,yes,Grundeinkommen,39.649,Könnte ein bedingungsloses Grundeinkommen zu mehr Faulheit führen?,yes
68,yes,Grundeinkommen,39.649,Sind die Kosten für ein bedingungsloses Grundeinkommen zu hoch?,yes
69,yes,Grundeinkommen,39.649,Sollte jeder Bürger unabhängig von seiner Arbeit ein festes Einkommen vom Staat erhalten?,yes
70,yes,Grundeinkommen,39.649,Würde ein bedingungsloses Grundeinkommen Armut reduzieren?,yes
71,yes,Grundeinkommen,39.649,Würde ein bedingungsloses Grundeinkommen mehr Freiheit für die Bürger fördern?,yes
72,yes,Videoüberwachung,83.901,"Glauben Sie, dass die verstärkte Nutzung von Videoüberwachung die Privatsphäre der Bürger zu stark einschränkt?",yes
73,no,Videoüberwachung,83.901,Halten Sie das Risiko von Missbrauch bei der Videoüberwachung für zu hoch?,no
74,no,Videoüberwachung,83.901,"Sind Sie der Meinung, dass Videoüberwachung die Sicherheit in der Gesellschaft erhöht?",no
75,yes,Videoüberwachung,83.901,Sollte die Videoüberwachung in öffentlichen Bereichen zur Verbrechensbekämpfung verstärkt eingesetzt werden?,yes
76,no,Videoüberwachung,83.901,"Sollten Bürger das Recht haben, sich gegen die Videoüberwachung in bestimmten öffentlichen Bereichen zu entscheiden?",no
77,no,Klimawandel,179.308,Könnte eine schnellere Umstellung auf erneuerbare Energien die deutsche Wirtschaft schädigen?,no
78,no,Klimawandel,179.308,"Sollte Deutschland strengere Umweltgesetze einführen, um die CO2-Emissionen zu reduzieren?",no
79,no,Klimawandel,179.308,"Sollte der öffentliche Verkehr gefördert werden, um die CO2-Emissionen zu reduzieren?",no
80,no,Klimawandel,179.308,Sollte die deutsche Regierung mehr in erneuerbare Energien investieren?,no
81,no,Klimawandel,179.308,Sollten Unternehmen mit hohen CO2-Emissionen stärker besteuert werden?,no
82,yes,Rente,32.592,"Sollte das Renteneintrittsalter angehoben werden, um die Rentenkasse zu entlasten?",yes
83,no,Rente,32.592,"Sollte die Rentenversicherungspflicht auf alle Berufsgruppen ausgeweitet werden, um die Rentenkasse zu stärken?",no
84,yes,Rente,32.592,"Sollten die Rentenbeiträge erhöht werden, um das Rentensystem langfristig zu finanzieren?",yes
85,yes,Genmais,56.985,"Denken Sie, dass der Anbau von Genmais zu einem geringeren Einsatz von Pestiziden führt?",yes
86,yes,Genmais,56.985,"Glauben Sie, dass der Anbau von Genmais negative Auswirkungen auf die Umwelt haben könnte?",yes
87,yes,Genmais,56.985,"Glauben Sie, dass der Anbau von Genmais zu höheren Erträgen führt?",yes
88,yes,Genmais,56.985,Sind Sie besorgt über mögliche gesundheitliche Risiken durch den Verzehr von Genmais?,yes
89,yes,Genmais,56.985,Sollte genetisch veränderter Mais in Deutschland angebaut werden?,yes
90,yes,Glyphosat,31.2,"Ist die Verwendung von Glyphosat notwendig, um die landwirtschaftliche Produktion zu sichern?",yes
91,yes,Glyphosat,31.2,Sollte Glyphosat in der Landwirtschaft weiterhin erlaubt sein?,yes
92,yes,Glyphosat,31.2,Sollte die Regierung strengere Regulierungen für den Einsatz von Glyphosat einführen?,yes
93,yes,Glyphosat,31.2,Sollte die Verwendung von Glyphosat aufgrund seiner möglichen Auswirkungen auf die Umwelt eingeschränkt werden?,yes
94,yes,Bundeswehr-Einsätze im Ausland,78.034,Sind die Risiken und Kosten von Auslandseinsätzen der Bundeswehr gerechtfertigt?,yes
95,yes,Bundeswehr-Einsätze im Ausland,78.034,Sollte Deutschland seine militärische Präsenz im Ausland erhöhen?,yes
96,yes,Bundeswehr-Einsätze im Ausland,78.034,Sollte die Bundeswehr an internationalen Friedensmissionen teilnehmen?,yes
97,yes,Bundeswehr-Einsätze im Ausland,78.034,"Sollte die Bundeswehr in Konfliktgebieten eingesetzt werden, um humanitäre Hilfe zu leisten?",yes
98,yes,Bundeswehr-Einsätze im Ausland,78.034,Sollte die Entscheidung über Auslandseinsätze der Bundeswehr stärker vom Bundestag kontrolliert werden?,yes
99,no,Impfpflicht,68.417,"Glauben Sie, dass eine Impfpflicht dazu beitragen kann, die Ausbreitung von Krankheiten zu verhindern?",no
100,no,Impfpflicht,68.417,"Glauben Sie, dass eine Impfpflicht die persönliche Freiheit einschränkt?",no
101,yes,Impfpflicht,68.417,"Sind Sie der Meinung, dass eine Impfpflicht notwendig ist, um die öffentliche Gesundheit zu schützen?",yes
102,no,Impfpflicht,68.417,Sollte die Impfung gegen bestimmte Krankheiten in Deutschland obligatorisch sein?,no
103,no,Impfpflicht,68.417,"Sollten Menschen, die sich gegen die Impfung entscheiden, mit Konsequenzen rechnen müssen?",no
104,no,Leiharbeit,23.185,Bietet die Leiharbeit eine notwendige Flexibilität für Unternehmen?,no
105,no,Leiharbeit,23.185,Fördert die Leiharbeit die Schaffung von Arbeitsplätzen?,no
106,no,Leiharbeit,23.185,Sind die Rechte von Leiharbeitern ausreichend geschützt?,no
107,no,Leiharbeit,23.185,Sollte die Leiharbeit in Deutschland vollständig verboten werden?,no
108,yes,Atomkraft,76.433,Ist Atomkraft eine notwendige Übergangstechnologie zur Erreichung der Klimaziele?,yes
109,yes,Atomkraft,76.433,Sollte Deutschland in die Forschung und Entwicklung von sichereren Atomtechnologien investieren?,yes
110,yes,Atomkraft,76.433,Sollte die Nutzung der Atomkraft weltweit auslaufen?,yes
111,no,Atomkraft,76.433,Sollten Kernkraftwerke in Deutschland weiterhin betrieben werden?,no
112,yes,Atomkraft,76.433,Überwiegen die Risiken der Atomkraft ihre Vorteile?,yes
113,yes,Fracking,154.621,"Glauben Sie, dass die Vorteile von Fracking die potenziellen Umwelt- und Gesundheitsrisiken überwiegen?",yes
114,yes,Fracking,154.621,"Sind Sie der Meinung, dass Fracking notwendig ist, um die Energieversorgung in Deutschland zu sichern?",yes
115,yes,Fracking,154.621,"Sollte Deutschland mehr in erneuerbare Energien investieren, anstatt Fracking zu betreiben?",yes
116,no,Fracking,154.621,Sollte Fracking in Deutschland erlaubt sein?,no
117,yes,Fracking,154.621,"Sollten strengere Regulierungen für Fracking eingeführt werden, um potenzielle Umwelt- und Gesundheitsrisiken zu minimieren?",yes
118,yes,Islam in Deutschland,263.493,"Sollte die deutsche Regierung Maßnahmen ergreifen, um die Integration von Muslimen in die Gesellschaft zu fördern?",yes
119,yes,Islam in Deutschland,263.493,Sollten Moscheen in Deutschland mehr Rechte zur Ausübung ihrer religiösen Praktiken erhalten?,yes
120,yes,Islam in Deutschland,263.493,Sollten die deutschen Behörden strengere Kontrollen von islamischen Organisationen durchführen?,yes
121,no,Islam in Deutschland,263.493,Sollten islamische Feiertage in Deutschland offiziell anerkannt werden?,no
122,no,Cannabis-Legalisierung,142.265,Könnte die Legalisierung von Cannabis negative soziale Auswirkungen in Deutschland haben?,no
123,yes,Cannabis-Legalisierung,142.265,Könnte die Legalisierung von Cannabis zusätzliche Steuereinnahmen für Deutschland generieren?,yes
124,yes,Cannabis-Legalisierung,142.265,Sollte der Verkauf von Cannabis in Deutschland legalisiert werden?,yes
125,no,Cannabis-Legalisierung,142.265,Würde die Legalisierung von Cannabis die Kriminalitätsrate in Deutschland senken?,no
126,no,Cannabis-Legalisierung,142.265,Würde die Legalisierung von Cannabis zu erhöhten gesundheitlichen Risiken in der Bevölkerung führen?,no
127,yes,Sterbehilfe,35.413,"Ist es ethisch vertretbar, Sterbehilfe zu leisten?",yes
128,yes,Sterbehilfe,35.413,Sollte Sterbehilfe als Teil der persönlichen Autonomie und Würde angesehen werden?,yes
129,yes,Sterbehilfe,35.413,Sollte Sterbehilfe in Deutschland legalisiert werden?,yes
130,yes,Sterbehilfe,35.413,"Sollten Patienten das Recht haben, über ihre eigene Sterbehilfe zu entscheiden?",yes
131,yes,Sterbehilfe,35.413,"Sollten Ärzte das Recht haben, Sterbehilfe zu leisten?",yes
132,yes,Prostitution,88.343,Fördert die Legalisierung der Prostitution Ihrer Meinung nach den Menschenhandel?,yes
133,yes,Prostitution,88.343,Sollte Prostitution in Deutschland verboten werden?,yes
134,yes,Prostitution,88.343,Sollte Prostitution in Deutschland vollständig legalisiert werden?,yes
135,no,Prostitution,88.343,"Sollte die Regierung mehr Maßnahmen ergreifen, um Prostituierte vor Ausbeutung zu schützen?",no
136,yes,Prostitution,88.343,Sollten Prostituierte mehr Rechte und Schutz erhalten?,yes
