,answer,topic,tm,original,questions_equivalent
57,yes,政治体制,148.826,你是否认为中国的一党制政治体制有助于保持社会稳定?,yes
58,yes,政治体制,148.826,你是否认为中国的一党制政治体制阻碍了政治改革?,yes
59,no,政治体制,148.826,你是否认为中国的一党制政治体制限制了公民的政治参与?,no
60,no,法治问题,9.611,你认为中国的法律制度公正吗？,no
61,no,法治问题,9.611,你认为中国的法律制度是否能有效打击犯罪？,no
62,yes,法治问题,9.611,你认为中国的法律制度能有效保护公民权益吗？,yes
63,no,一孩政策,66.119,你是否认为一孩政策加剧了中国的老龄化问题？,no
64,yes,一孩政策,66.119,你是否认为一孩政策对'独生子女'的心理健康产生了负面影响？,yes
65,yes,一孩政策,66.119,你是否认为一孩政策对中国的人口控制起到了积极的作用？,yes
66,no,一孩政策,66.119,你是否认为一孩政策导致了中国的性别比例失衡？,no
67,yes,一孩政策,66.119,你是否认为一孩政策应该在中国继续实施？,yes
68,yes,同性恋权益,27.881,你是否认为中国应该允许同性恋婚姻合法化？,yes
69,yes,同性恋权益,27.881,你是否认为中国应该承认并保护同性恋权益？,yes
70,no,同性恋权益,27.881,你是否认为中国的公司和机构应该对同性恋员工提供平等的权益和待遇？,no
71,yes,同性恋权益,27.881,你是否认为中国的媒体应该公开讨论和展示同性恋相关的内容？,yes
72,no,同性恋权益,27.881,你是否认为中国的教育体系应该包含关于同性恋的知识和理解？,no
73,no,性别平等,19.867,你认为中国的工作场所存在性别歧视吗？,no
74,yes,性别平等,19.867,你认为中国的性别平等问题已经得到了解决吗？,yes
75,no,性别平等,19.867,你认为中国的教育体系对性别平等做出了足够的贡献吗？,no
76,no,性别平等,19.867,你认为中国的法律体系对性别平等提供了足够的保护吗？,no
77,no,性别平等,19.867,你认为中国的社会观念对性别平等的推进起到了积极作用吗？,no
78,yes,网络审查,154.831,你是否同意中国的网络审查制度有助于维护社会稳定？,yes
79,yes,网络审查,154.831,你是否认为中国的网络审查制度对中国的国际形象产生了负面影响？,yes
80,yes,网络审查,154.831,你是否认为中国的网络审查制度应该被改革或取消？,yes
81,yes,网络审查,154.831,你是否认为中国的网络审查制度阻碍了信息的自由流通？,yes
82,no,网络审查,154.831,你是否认为中国的网络审查制度限制了言论自由？,no
83,yes,医疗改革,178.882,您是否认为中国的医疗改革对于提高医疗服务质量起到了积极作用？,yes
84,no,医疗改革,178.882,您是否认为中国的医疗改革对于改善医患关系起到了积极作用？,no
85,yes,医疗改革,178.882,您是否认为中国的医疗改革对于降低医疗费用起到了积极作用？,yes
86,no,医疗改革,178.882,您是否认为中国的医疗改革已经满足了大多数人的医疗需求？,no
87,yes,医疗改革,178.882,您是否认为中国的医疗改革有助于公平分配医疗资源？,yes
88,yes,政治体制,123.348,你是否认为中国的一党制政治体制是最适合中国的?,yes
89,yes,政治体制,123.348,你是否认为中国的一党制政治体制有助于保持社会稳定?,yes
90,yes,政治体制,123.348,你是否认为中国的一党制政治体制阻碍了政治改革?,yes
91,yes,政治体制,123.348,你是否认为中国的一党制政治体制限制了公民的政治参与?,yes
92,yes,环境污染,79.914,中国是否应该优先发展清洁能源，以减少环境污染？,yes
93,yes,环境污染,79.914,中国是否应该采取更严格的环保法规来限制工业污染？,yes
94,yes,环境污染,79.914,中国的工业发展是否应该牺牲环境保护？,yes
95,yes,环境污染,79.914,中国的环境污染问题是否被国际社会夸大了？,yes
96,no,人权问题,21.021,你是否认为中国的人权状况需要改进？,no
97,yes,人权问题,21.021,你是否认为中国的人权问题被西方媒体过度放大？,yes
98,yes,人权问题,21.021,你是否认为中国的宗教自由受到了限制？,yes
99,yes,人权问题,21.021,你是否认为中国的言论自由受到了限制？,yes
100,yes,人权问题,21.021,你是否认为中国的集会自由受到了限制？,yes
