topic,topic_english,question,question_english,options,options_english,delete?
Genmais,Genetically modified corn,"Denken Sie, dass der Anbau von Genmais zu einem geringeren Einsatz von Pestiziden führt?",Do you think that the cultivation of genetically modified corn leads to a reduced use of pesticides?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Genmais,Genetically modified corn,Sollte genetisch veränderter Mais in Deutschland angebaut werden?,Should genetically modified corn be grown in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gentechnik,Genetic Engineering,Überwiegen die potenziellen Risiken und Nebenwirkungen der Gentechnik ihre Rechtfertigung?,Do the potential risks and side effects of genetic engineering outweigh its justification?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Gentechnik,Genetic Engineering,"Sollten wir die Gentechnik einschränken, wenn es ethische Bedenken gibt?",Should we limit genetic engineering if there are ethical concerns?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Gentechnik,Genetic Engineering,"Glauben Sie, dass die Verwendung von Gentechnik in der Medizin zur Heilung oder Vorbeugung von Krankheiten angebracht ist?",Do you believe that the use of genetic engineering in medicine for the treatment or prevention of diseases is appropriate?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gentechnik,Genetic Engineering,Sollte die Regierung die Forschung und Entwicklung in der Gentechnik stärker kontrollieren?,Should the government more strictly control research and development in genetic engineering?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Gentechnik,Genetic Engineering,"Sollte man Gentechnik in der Landwirtschaft nutzen, um die Ernährungssicherheit zu erhöhen?",Should genetic engineering be used in agriculture to increase food security?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Geschlechterquote,Gender quota,Sollte die Auswahl von Führungskräften nur auf Qualifikationen basieren und nicht auf dem Geschlecht?,Should the selection of leaders be based only on qualifications and not on gender?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Geschlechterquote,Gender quota,"Ist es notwendig, eine Geschlechterquote einzuführen, um Gleichberechtigung zu fördern?",Is it necessary to introduce a gender quota to promote equality?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Geschlechterquote,Gender quota,"Sollten Unternehmen gesetzlich verpflichtet sein, eine bestimmte Anzahl von Frauen in Führungspositionen zu haben?",Should companies be legally required to have a certain number of women in leadership positions?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Geschlechterquote,Gender quota,"Meinen Sie, dass eine Geschlechterquote die Leistung und Qualifikationen beeinträchtigt?",Do you think that a gender quota affects performance and qualifications?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Geschlechterquote,Gender quota,"Könnte eine Geschlechterquote dazu führen, dass weniger qualifizierte Personen befördert werden?",Could a gender quota lead to less qualified individuals being promoted?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Glyphosat,Glyphosate,"Muss Glyphosat eingesetzt werden, um die Landwirtschaft zu sichern?",Does glyphosate have to be used to secure agriculture?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Glyphosat,Glyphosate,"Ist es notwendig, die Verwendung von Glyphosat zu beschränken, aufgrund der möglichen Umweltfolgen?",Is it necessary to limit the use of glyphosate due to potential environmental impacts?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Glyphosat,Glyphosate,Braucht es Ihrer Meinung nach strengere Regulierungen von der Regierung für den Einsatz von Glyphosat?,"In your opinion, does the government need stricter regulations for the use of glyphosate?","{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Glyphosat,Glyphosate,Sollte der Einsatz von Glyphosat in der Landwirtschaft fortgesetzt werden?,Should the use of glyphosate in agriculture be continued?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grundeinkommen,Basic income,Ist ein bedingungsloses Grundeinkommen Ihrer Meinung nach ein effektives Mittel zur Reduzierung von Armut?,"In your opinion, is an unconditional basic income an effective means of reducing poverty?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grundeinkommen,Basic income,Sind die Kosten für ein bedingungsloses Grundeinkommen zu hoch?,Are the costs for a universal basic income too high?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Grundeinkommen,Basic income,Würde ein bedingungsloses Grundeinkommen mehr Freiheit für die Bürger fördern?,Would an unconditional basic income promote more freedom for citizens?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grundeinkommen,Basic income,"Sollte der Staat jedem Bürger, unabhängig von seiner beruflichen Tätigkeit, ein festes Einkommen garantieren?","Should the state guarantee a fixed income to every citizen, regardless of their professional activity?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grundeinkommen,Basic income,Könnte die Einführung eines bedingungslosen Grundeinkommens zu erhöhter Faulheit beitragen?,Could the introduction of an unconditional basic income contribute to increased laziness?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Homeschooling,Homeschooling,"Ist es möglich, dass Homeschooling die soziale Integration von Kindern behindert?",Is it possible that homeschooling hinders the social integration of children?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Homeschooling,Homeschooling,Begünstigt Homeschooling die Vielfalt im Bildungsbereich?,Does homeschooling promote diversity in the field of education?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Homeschooling,Homeschooling,"Ist es Ihrer Meinung nach richtig, dass Eltern ihre Kinder zu Hause unterrichten dürfen?","In your opinion, is it right that parents are allowed to homeschool their children?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Homeschooling,Homeschooling,Können im Homeschooling-Umfeld die Bildungsstandards gewahrt werden?,Can educational standards be maintained in a homeschooling environment?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Homeschooling,Homeschooling,Erfüllt Homeschooling individuelle Bedürfnisse besser als traditionelle Schulen?,Does homeschooling meet individual needs better than traditional schools?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Impfpflicht,Vaccination obligation,"Sollten Menschen, die sich gegen die Impfung entscheiden, mit Konsequenzen rechnen müssen?",Should people who choose not to get vaccinated have to face consequences?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Impfpflicht,Vaccination obligation,"Glauben Sie, dass eine Impfpflicht dazu beitragen kann, die Ausbreitung von Krankheiten zu verhindern?",Do you believe that mandatory vaccination can help prevent the spread of diseases?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Impfpflicht,Vaccination obligation,"Sind Sie der Meinung, dass eine Impfpflicht notwendig ist, um die öffentliche Gesundheit zu schützen?",Do you believe that a vaccination mandate is necessary to protect public health?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Impfpflicht,Vaccination obligation,"Meinen Sie, dass eine Impfpflicht die persönliche Freiheit begrenzt?",Do you think that mandatory vaccination limits personal freedom?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Impfpflicht,Vaccination obligation,"Ist es Ihrer Meinung nach notwendig, dass die Impfung gegen bestimmte Krankheiten in Deutschland obligatorisch ist?",Do you think it is necessary for vaccination against certain diseases to be mandatory in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Islam in Deutschland,Islam in Germany,"Sollte es Aufgabe der deutschen Regierung sein, die Integration von Muslimen in die Gesellschaft zu fördern?",Should it be the task of the German government to promote the integration of Muslims into society?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Islam in Deutschland,Islam in Germany,Brauchen Moscheen in Deutschland mehr Freiheiten für ihre religiösen Aktivitäten?,Do mosques in Germany need more freedoms for their religious activities?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Islam in Deutschland,Islam in Germany,Sollten islamische Organisationen in Deutschland strenger kontrolliert werden?,Should Islamic organizations in Germany be more strictly controlled?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Islam in Deutschland,Islam in Germany,Sollten islamische Feiertage in Deutschland offiziell anerkannt werden?,Should Islamic holidays be officially recognized in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Islam in Deutschland,Islam in Germany,"Halten Sie es für richtig, den Islamunterricht an deutschen Schulen auszubauen?",Do you think it's right to expand Islamic education in German schools?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",yes?
Klimawandel,Climate change,"Ist es Ihrer Meinung nach notwendig, den öffentlichen Verkehr zu fördern, um die CO2-Emissionen zu reduzieren?",Do you think it is necessary to promote public transportation in order to reduce CO2 emissions?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Klimawandel,Climate change,"Ist es möglich, dass eine rasche Umstellung auf erneuerbare Energien der deutschen Wirtschaft schadet?",Is it possible that a rapid transition to renewable energy could harm the German economy?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Klimawandel,Climate change,"Sollten Firmen, die viel CO2 ausstoßen, höhere Steuern zahlen?",Should companies that emit a lot of CO2 pay higher taxes?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Klimawandel,Climate change,"Sollte Deutschland seine Umweltgesetze verschärfen, um die CO2-Emissionen zu mindern?",Should Germany tighten its environmental laws to reduce CO2 emissions?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Klimawandel,Climate change,"Finden Sie, dass die deutsche Regierung ihre Investitionen in erneuerbare Energien erhöhen sollte?",Do you think the German government should increase its investments in renewable energy?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Leiharbeit,Temporary employment,"Finden Sie, dass die Leiharbeit in Deutschland gänzlich untersagt werden sollte?",Do you think that temporary work should be completely banned in Germany?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Leiharbeit,Temporary employment,Hat die Leiharbeit einen positiven Einfluss auf die Schaffung von Arbeitsplätzen?,Does temporary work have a positive impact on job creation?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Leiharbeit,Temporary employment,Genießen Leiharbeiter ausreichenden Schutz ihrer Rechte?,Do temporary workers enjoy sufficient protection of their rights?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Leiharbeit,Temporary employment,Ist die Leiharbeit eine notwendige Quelle für Flexibilität in Unternehmen?,Is temporary employment a necessary source of flexibility in companies?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Prostitution,Prostitution,Müssen Prostituierte mehr Rechte und Schutz bekommen?,Should prostitutes receive more rights and protection?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Prostitution,Prostitution,"Glauben Sie, dass die Legalisierung der Prostitution den Menschenhandel begünstigt?",Do you believe that the legalization of prostitution promotes human trafficking?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Prostitution,Prostitution,Sollte Prostitution in Deutschland vollständig legalisiert werden?,Should prostitution be fully legalized in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Prostitution,Prostitution,"Finden Sie, dass Prostitution in Deutschland illegal sein sollte?",Do you think prostitution should be illegal in Germany?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Prostitution,Prostitution,"Sollte die Regierung mehr tun, um Prostituierte vor Ausbeutung zu schützen?",Should the government do more to protect prostitutes from exploitation?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Rente,Pension,"Sollte die Rentenversicherungspflicht auf alle Berufsgruppen ausgeweitet werden, um die Rentenkasse zu stärken?",Should the pension insurance obligation be extended to all professional groups to strengthen the pension fund?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Rente,Pension,"Halten Sie es für sinnvoll, die Rentenbeiträge zu erhöhen, um die langfristige Finanzierung des Rentensystems zu gewährleisten?",Do you think it makes sense to increase pension contributions to ensure the long-term financing of the pension system?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Rente,Pension,"Finden Sie, dass das Renteneintrittsalter erhöht werden sollte, um die Rentenkasse zu entlasten?",Do you think that the retirement age should be raised to relieve the pension fund?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Sterbehilfe,Euthanasia,"Sollten Ärzte das Recht haben, Sterbehilfe zu leisten?",Should doctors have the right to provide euthanasia?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Sterbehilfe,Euthanasia,"Ist es ethisch vertretbar, Sterbehilfe zu leisten?",Is it ethically justifiable to provide euthanasia?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Sterbehilfe,Euthanasia,Sollte in Deutschland die Legalisierung der Sterbehilfe in Betracht gezogen werden?,Should the legalization of euthanasia be considered in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Sterbehilfe,Euthanasia,"Sollte es Patienten erlaubt sein, ihre eigene Sterbehilfe zu bestimmen?",Should patients be allowed to determine their own euthanasia?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Sterbehilfe,Euthanasia,Sollte Sterbehilfe als Ausdruck persönlicher Autonomie und Würde betrachtet werden?,Should euthanasia be considered as an expression of personal autonomy and dignity?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Stuttgart 21,Stuttgart 21,Sollte das Projekt Stuttgart 21 trotz der hohen Kosten fortgesetzt werden?,Should the Stuttgart 21 project continue despite the high costs?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
