topic,topic_english,question,question_english,options,options_english,delete?
Berliner Bär,Berlin Bear,"Finden Sie, dass der Berliner Bär auf dem Stadtwappen bleiben sollte?",Do you think the Berlin Bear should remain on the city's coat of arms?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Berliner Bär,Berlin Bear,"Ist es wünschenswert, den Berliner Bär in mehr städtischen Designs und Kunstwerken zu integrieren?",Is it desirable to integrate the Berlin bear into more urban designs and artworks?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Berliner Bär,Berlin Bear,"Glauben Sie, dass der Berliner Bär ein wichtiger Teil der Berliner Identität ist?",Do you believe that the Berlin Bear is an important part of Berlin's identity?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungssystem,Education system,"Halten Sie es für wahr, dass das deutsche Bildungssystem die individuellen Fähigkeiten jedes Schülers fördert?",Do you believe that the German education system promotes the individual abilities of each student?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungssystem,Education system,"Glauben Sie, dass das deutsche Bildungssystem ausreichende Chancen für jeden bereitstellt?",Do you believe that the German education system provides sufficient opportunities for everyone?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungssystem,Education system,"Finden Sie, dass das deutsche Bildungssystem Studierenden genügend Unterstützung bietet?",Do you think that the German education system provides enough support for students?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungssystem,Education system,"Ist Ihrer Meinung nach das deutsche Bildungssystem in der Lage, genügend Ressourcen für die berufliche Ausbildung bereitzustellen?","In your opinion, is the German education system capable of providing sufficient resources for vocational training?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Bildungssystem,Education system,Halten Sie das deutsche Bildungssystem für gerecht?,Do you think the German education system is fair?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Brandenburger Tor,Brandenburg Gate,Kann man das Brandenburger Tor als eine der bekanntesten Sehenswürdigkeiten Deutschlands bezeichnen?,Can the Brandenburg Gate be described as one of the most famous landmarks in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Brandenburger Tor,Brandenburg Gate,Befindet sich das Brandenburger Tor in Berlin?,Is the Brandenburg Gate located in Berlin?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Brandenburger Tor,Brandenburg Gate,Stellt das Brandenburger Tor ein bedeutendes Symbol der deutschen Einheit dar?,Does the Brandenburg Gate represent a significant symbol of German unity?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Brandenburger Tor,Brandenburg Gate,Hat das Brandenburger Tor in der Geschichte Deutschlands eine wichtige Position eingenommen?,Has the Brandenburg Gate held an important position in the history of Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Brandenburger Tor,Brandenburg Gate,Wurde das Brandenburger Tor im 18. Jahrhundert erbaut?,Was the Brandenburg Gate built in the 18th century?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Deutsche Bahn,German Railways,"Glauben Sie, dass die Deutsche Bahn pünktlich ist?",Do you believe that the German railway is punctual?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Bahn,German Railways,Finden Sie die Dienstleistungen der Deutschen Bahn zufriedenstellend?,Do you find the services of the German Railways satisfactory?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Bahn,German Railways,Ist Ihrer Meinung nach das Angebot an internationalen Verbindungen der Deutschen Bahn ausreichend?,"In your opinion, is the range of international connections offered by Deutsche Bahn sufficient?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Bahn,German Railways,"Glauben Sie, dass die Züge der Deutschen Bahn sauber und gut instand gehalten sind?",Do you believe that the trains of the German Railways are clean and well maintained?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Bahn,German Railways,Halten Sie die Preise der Deutschen Bahn für angemessen?,Do you think the prices of the German railway are reasonable?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Einheit,German Unity,"Glauben Sie, dass die deutsche Einheit erfolgreich realisiert wurde?",Do you believe that German reunification was successfully realized?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Einheit,German Unity,"Glauben Sie, dass die deutsche Einheit ein wichtiger Schritt in der Geschichte Deutschlands war?",Do you believe that German reunification was an important step in the history of Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Deutsche Einheit,German Unity,Sollten Ihrer Meinung nach Ost- und Westdeutschland wiedervereinigt werden?,"Should East and West Germany be reunified, in your opinion?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Deutsche Einheit,German Unity,Ist Ihrer Meinung nach der 3. Oktober ein angemessener Tag der deutschen Einheit?,"In your opinion, is October 3rd an appropriate day for German Unity Day?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",t\
Deutsche Einheit,German Unity,Sehen Sie die deutsche Einheit als positiven Beitrag zur Entwicklung Deutschlands?,Do you see the German unity as a positive contribution to the development of Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Dichter und Denker,Poets and Thinkers,Halten Sie die deutsche Philosophie für weltweit einflussreich?,Do you consider German philosophy to be influential worldwide?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Dichter und Denker,Poets and Thinkers,Ist Ihrer Meinung nach Deutschland das Zuhause vieler berühmter Wissenschaftler?,"In your opinion, is Germany the home of many famous scientists?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Dichter und Denker,Poets and Thinkers,Sehen Sie Kant als eine zentrale Figur in der Entwicklung der deutschen Philosophie?,Do you see Kant as a central figure in the development of German philosophy?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Dichter und Denker,Poets and Thinkers,Halten Sie Goethe für einen der bedeutendsten Dichter Deutschlands?,Do you consider Goethe one of the most significant poets of Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gesundheitssystem,Healthcare system,Befürworten Sie die Finanzierung des deutschen Gesundheitssystems durch Beiträge von Arbeitnehmern und Arbeitgebern als angemessen?,Do you support the financing of the German health system through contributions from employees and employers as appropriate?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gesundheitssystem,Healthcare system,"Finden Sie die Qualität der medizinischen Versorgung, die das deutsche Gesundheitssystem bietet, zufriedenstellend?",Do you find the quality of medical care provided by the German health system satisfactory?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gesundheitssystem,Healthcare system,"Halten Sie es für notwendig, dass das deutsche Gesundheitssystem verbessert wird?",Do you think it is necessary for the German health system to be improved?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Gesundheitssystem,Healthcare system,Ist Ihrer Meinung nach das deutsche Gesundheitssystem gerecht?,"In your opinion, is the German health system fair?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Gesundheitssystem,Healthcare system,Ist Ihrer Ansicht nach das deutsche Gesundheitssystem effizient?,"In your opinion, is the German health system efficient?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grimms Märchen,Grimm's Fairy Tales,"Glauben Sie, dass die Märchen der Brüder Grimm zu brutal für Kinder sind?",Do you believe that the fairy tales of the Brothers Grimm are too brutal for children?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Grimms Märchen,Grimm's Fairy Tales,"Meinen Sie, dass wichtige moralische Lektionen in den Märchen der Brüder Grimm vermittelt werden?",Do you think that important moral lessons are conveyed in the fairy tales of the Brothers Grimm?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grimms Märchen,Grimm's Fairy Tales,"Meinen Sie, dass die Märchen der Brüder Grimm für Kinder angemessen sind?",Do you think that the fairy tales of the Brothers Grimm are appropriate for children?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Grimms Märchen,Grimm's Fairy Tales,Halten Sie die Märchen der Brüder Grimm für ein wichtiges Kulturgut?,Do you consider the fairy tales of the Brothers Grimm to be an important cultural asset?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Haribo,Haribo,"Würden Sie vorschlagen, dass Ihre Freunde Haribo Produkte probieren?",Would you suggest your friends try Haribo products?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Haribo,Haribo,"Würden Sie sagen, dass Haribo eine verantwortungsbewusste Marke ist?",Would you say that Haribo is a responsible brand?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Haribo,Haribo,Stufen Sie Haribo als eine qualitativ hochwertige Marke ein?,Do you consider Haribo to be a high-quality brand?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Holocaust-Gedenken,Holocaust Remembrance,"Stimmen Sie zu, dass das Gedenken an den Holocaust ein wichtiger Teil der deutschen Kultur und Geschichte ist?",Do you agree that remembering the Holocaust is an important part of German culture and history?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Holocaust-Gedenken,Holocaust Remembrance,"Stimmen Sie der Aussage zu, dass das Gedenken an den Holocaust dazu beiträgt, ähnliche Verbrechen zu verhindern?",Do you agree with the statement that remembering the Holocaust helps to prevent similar crimes?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Holocaust-Gedenken,Holocaust Remembrance,"Ist es Ihrer Ansicht nach wichtig, Denkmäler und Museen, die an die Opfer des Holocaust erinnern, zu bewahren?",Do you think it's important to preserve monuments and museums that commemorate the victims of the Holocaust?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Holocaust-Gedenken,Holocaust Remembrance,"Ist Ihrer Meinung nach die Erinnerung an den Holocaust ein effektives Mittel, um zukünftige Generationen über die Gefahren des Extremismus zu unterrichten?","In your opinion, is the memory of the Holocaust an effective tool to educate future generations about the dangers of extremism?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Karneval,Carnival,"Glauben Sie, dass Karneval zu viel Lärm und Chaos erzeugt?",Do you believe that Carnival creates too much noise and chaos?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Karneval,Carnival,"Denken Sie, dass die Karnevalskostüme kreativ und unterhaltsam sind?",Do you think the carnival costumes are creative and entertaining?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Karneval,Carnival,"Finden Sie, dass Karneval eine wichtige kulturelle Tradition ist?",Do you think that Carnival is an important cultural tradition?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Karneval,Carnival,"Ist Ihrer Meinung nach Karneval eine gute Gelegenheit, um den Gemeinschaftsgeist zu stärken?","In your opinion, is Carnival a good opportunity to strengthen community spirit?","{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Kuckucksuhr,Cuckoo clock,Halten Sie Kuckucksuhren für veraltet?,Do you consider cuckoo clocks to be outdated?,"{'ja': 'opposes', 'nein': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
Kuckucksuhr,Cuckoo clock,Finden Sie den Ruf des Kuckucks in der Kuckucksuhr charmant?,Do you find the call of the cuckoo in the cuckoo clock charming?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Kuckucksuhr,Cuckoo clock,Sehen Sie Kuckucksuhren als einen wichtigen Aspekt der deutschen Kultur an?,Do you consider cuckoo clocks an important aspect of German culture?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Rhein,Rhine,Zählt der Rhein zum bedeutenden Naturerbe Europas?,Does the Rhine count as a significant natural heritage of Europe?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Rhein,Rhine,Ist der Rhein ein zentraler Verkehrsweg in Europa?,Is the Rhine a central transport route in Europe?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Rhein,Rhine,Durchquert der Rhein mehrere Städte in Deutschland?,Does the Rhine River cross through several cities in Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Rhein,Rhine,Gilt der Rhein als einer der längsten Flüsse in Europa?,Is the Rhine considered one of the longest rivers in Europe?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Rhein,Rhine,Spielt der Rhein eine wichtige Rolle in der Wirtschaft Europas?,Does the Rhine play an important role in the economy of Europe?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Soziale Marktwirtschaft,Social Market Economy,"Sind Sie der Meinung, dass staatliche Regulierung in einer sozialen Marktwirtschaft notwendig ist?",Do you believe that government regulation is necessary in a social market economy?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
Soziale Marktwirtschaft,Social Market Economy,Halten Sie die soziale Marktwirtschaft für eine effektive Mischung aus freier Marktwirtschaft und sozialer Absicherung?,Do you consider the social market economy an effective mix of free market economy and social security?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Soziale Marktwirtschaft,Social Market Economy,Finden Sie das Konzept der sozialen Marktwirtschaft gut?,Do you like the concept of the social market economy?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Soziale Marktwirtschaft,Social Market Economy,Halten Sie die soziale Marktwirtschaft für das beste Wirtschaftsmodell für Deutschland?,Do you consider the social market economy to be the best economic model for Germany?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Soziale Marktwirtschaft,Social Market Economy,"Glauben Sie, dass die soziale Marktwirtschaft zu mehr sozialer Gerechtigkeit führt?",Do you believe that the social market economy leads to more social justice?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Umweltschutz,Environmental protection,"Unterstützen Sie die Idee, dass mehr in Umweltschutztechnologien investiert werden sollte?",Do you support the idea that more should be invested in environmental protection technologies?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Umweltschutz,Environmental protection,"Sollten Unternehmen stärker zur Verantwortung gezogen werden, wenn sie die Umwelt schädigen?",Should companies be held more accountable if they harm the environment?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Umweltschutz,Environmental protection,Stimmen Sie für strengere Gesetze in Bezug auf Recycling und Abfallmanagement?,Do you vote for stricter laws regarding recycling and waste management?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Umweltschutz,Environmental protection,Befürworten Sie den Einsatz von erneuerbaren Energien?,Do you support the use of renewable energy?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
Umweltschutz,Environmental protection,"Halten Sie es für wichtig, dass der Umweltschutz in der Politik eine hohe Priorität hat?",Do you think it's important that environmental protection has a high priority in politics?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
VW Käfer,VW Beetle,Handelt es sich beim VW Käfer um ein Modell von Volkswagen?,Is the VW Beetle a model of Volkswagen?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
VW Käfer,VW Beetle,Ist der VW Käfer ein ikonisches deutsches Auto?,Is the VW Beetle an iconic German car?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
VW Käfer,VW Beetle,War die Produktion des VW Käfers im mittleren 20. Jahrhundert?,Was the production of the VW Beetle in the mid-20th century?,"{'ja': 'supports', 'nein': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
