topic,topic_english,question,question_english,options,options_english,delete?
カジノ解禁,Casino legalization,ギャンブル依存症のリスクを超えて、カジノ解禁による経済活性化が可能だと思いますか？,"Do you think it is possible to stimulate the economy by lifting the ban on casinos, beyond the risk of gambling addiction?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
カジノ解禁,Casino legalization,「カジノの合法化による税収の増加が、社会的な問題の悪化を補填できると考えますか？「はい」または「いいえ」」,"""Do you think that the increase in tax revenue from the legalization of casinos can compensate for the worsening of social problems? Answer 'yes' or 'no'.""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
カジノ解禁,Casino legalization,カジノの解禁が治安を悪化させると懸念していますか？「はい」または「いいえ」,"Are you concerned that the legalization of casinos will worsen public safety? ""Yes"" or ""No"".","{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
ギガスクール構想,Giga School Concept,ギガスクール構想の費用負担は、公共の責任と考えますか？それとも個々の家庭の責任と考えますか？,"Do you consider the cost burden of the Giga School concept to be a public responsibility, or do you consider it to be the responsibility of each individual household?","{'公共の責任': 'supports', '個々の家庭の責任': 'opposes'}","{'Public responsibility': 'supports', 'The responsibility of each household.': 'opposes'}",TRUE
ギガスクール構想,Giga School Concept,「ギガスクール構想、あなたはこれを支持しますか？それとも反対しますか？」,"""Do you support the Giga School concept, or are you against it?""","{'賛成': 'supports', '反対': 'opposes'}","{'In favor': 'supports', 'Opposition': 'opposes'}",TRUE
ギガスクール構想,Giga School Concept,ギガスクール構想によるデバイスの配布が子供たちの学習意欲を促進すると思いますか？それともそれが逆に問題を引き起こすと思いますか？,Do you think the distribution of devices under the Giga School concept will promote children's learning motivation? Or do you think it will instead cause problems?,"{'学習意欲を高める': 'supports', '逆効果': 'opposes'}","{'Increase learning motivation.': 'supports', 'Counterproductive': 'opposes'}",TRUE
ギガスクール構想,Giga School Concept,「ギガスクール構想は、日本の教育制度の向上に役立つと感じますか？それとも問題を引き起こすと感じますか？」,"""Do you feel that the Giga School concept will contribute to the improvement of Japan's education system? Or do you feel it will cause problems?""","{'改善する一歩': 'supports', '問題を引き起こす': 'opposes'}","{'One step to improve': 'supports', 'Cause a problem': 'opposes'}",TRUE
ギガスクール構想,Giga School Concept,全ての生徒に一台ずつデバイスを提供することは、教育の不平等を解消すると考えますか？それとも逆に増大すると考えますか？,"Do you think that providing each student with a device will eliminate educational inequality, or do you think it will increase it instead?","{'解消する': 'supports', '拡大する': 'opposes'}","{'Resolve': 'supports', 'To enlarge.': 'opposes'}",TRUE
デジタル庁設立,Establishment of the Digital Agency,デジタル庁が設立された場合、行政手続きの効率化が進むと思いますか？それともそう思いませんか？,Do you think the establishment of the Digital Agency will lead to the efficiency of administrative procedures? Or do you not think so?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デジタル庁設立,Establishment of the Digital Agency,デジタル庁の設立が行政の透明性を向上させると考えますか？それともそう考えませんか？,Do you think the establishment of the Digital Agency will improve administrative transparency? Or do you not think so?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デジタル庁設立,Establishment of the Digital Agency,デジタル庁の設立により、行政サービスの質が向上すると思いますか？そう思わないですか？,Do you think the establishment of the Digital Agency will improve the quality of administrative services? Or do you not think so?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デジタル庁設立,Establishment of the Digital Agency,デジタル庁の設立により、プライバシー保護が弱まると思いますか？そう思わないですか？,Do you think the establishment of the Digital Agency will weaken privacy protection? Or do you not think so?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
デジタル庁設立,Establishment of the Digital Agency,デジタル庁の設立についてどう思いますか？支持しますか？それとも反対しますか？,What do you think about the establishment of the Digital Agency? Do you support it? Or are you against it?,"{'賛成': 'supports', '反対': 'opposes'}","{'In favor': 'supports', 'Opposition': 'opposes'}",TRUE
デフレ脱却,Overcoming deflation,デフレ脱却のための経済成長戦略を支持しますか？,Do you support the economic growth strategy for overcoming deflation?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デフレ脱却,Overcoming deflation,あなたは金融政策を通じてのデフレ脱却を支持しますか？,Do you support overcoming deflation through monetary policy?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デフレ脱却,Overcoming deflation,デフレからの回復には政府の積極的な財政行動が必要だとあなたは思いますか？,Do you think that active fiscal action by the government is necessary for recovery from deflation?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デフレ脱却,Overcoming deflation,あなたはデフレ脱却のためにはインフレをある程度許容するべきだと思いますか？,Do you think that you should tolerate a certain degree of inflation in order to escape deflation?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
デフレ脱却,Overcoming deflation,日本経済にとってデフレ脱却が必要だとあなたは考えますか？,Do you think it is necessary for the Japanese economy to overcome deflation?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
フェイクニュース,Fake news,SNS企業はフェイクニュースの拡散を防ぐ義務を持つべきだと思いますか？,Do you think that social networking companies should have a responsibility to prevent the spread of fake news?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
フェイクニュース,Fake news,政府がフェイクニュースの拡散を防ぐために積極的な役割を果たすべきだと思いますか？,Do you think the government should play an active role in preventing the spread of fake news?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
フェイクニュース,Fake news,フェイクニュースを散布したユーザーに対する制裁は必要だと思いますか？,Do you think sanctions are necessary against users who spread fake news?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
プラスチック廃棄物,Plastic waste,「プラスチック製品のリサイクルは必須にすべきだと思いますか？」,"""Do you think recycling of plastic products should be mandatory?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
プラスチック廃棄物,Plastic waste,プラスチック製品の代替品を開発するための研究に公的資金を投じるべきですか？,Should public funds be invested in research to develop alternatives to plastic products?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
プラスチック廃棄物,Plastic waste,法律を通じてプラスチック製品の使用を制限すべきだと思いますか？,Do you think we should limit the use of plastic products through legislation?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
プラスチック廃棄物,Plastic waste,「プラスチック製品の輸入を制約すべきだと思いますか？」,"""Do you think we should restrict the import of plastic products?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
プラスチック廃棄物,Plastic waste,「プラスチック製品の生産者に環境税を課すべきだと思いますか？」,"""Do you think plastic product manufacturers should be taxed for environmental reasons?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
ヘイトスピーチ,Hate speech,ヘイトスピーチは表現の自由を侵害すると思いますか？,Do you think hate speech infringes on freedom of expression?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
ヘイトスピーチ,Hate speech,ヘイトスピーチに対する法的な規制は必要だと考えますか？,Do you think legal regulations are necessary against hate speech?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
ヘイトスピーチ,Hate speech,ヘイトスピーチを行う人々に罰を科すべきだと考えますか？,Do you think people who engage in hate speech should be punished?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
ヘイトスピーチ,Hate speech,ヘイトスピーチに対する社会的な教育や啓発活動が必要だと思いますか？,Do you think there is a need for social education and awareness activities against hate speech?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
ヘイトスピーチ,Hate speech,ヘイトスピーチは個々の意見の表現であり、規制すべきではないと思いますか？,Do you think hate speech is an expression of individual opinions and should not be regulated?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
五輪開催,Hosting the Olympics,五輪開催に伴う感染リスクの増加は許容できると思いますか？,Do you think the increased risk of infection associated with hosting the Olympics is acceptable?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
五輪開催,Hosting the Olympics,五輪の開催は日本の国際的な評価を向上させると思われますか？,Do you think hosting the Olympics will improve Japan's international reputation?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
五輪開催,Hosting the Olympics,オリンピックの開催は日本経済の活性化に寄与すると考えますか？,Do you think hosting the Olympics contributes to the revitalization of the Japanese economy?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
五輪開催,Hosting the Olympics,五輪の開催による経済的な負担は許せる範囲だと思いますか？,Do you think the economic burden caused by hosting the Olympics is acceptable?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
五輪開催,Hosting the Olympics,新型コロナウイルスの流行中に五輪を開くことにあなたは賛成していますか？,Do you agree with holding the Olympics during the outbreak of the new coronavirus?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
介護難民,Caregiving refugees,地域包括ケアシステムの構築は必須だと思いますか？,Do you think it is necessary to build a regional comprehensive care system?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
介護難民,Caregiving refugees,介護サービスの質を向上させるためには、公的資金の増加が必要だと思いますか？,Do you think an increase in public funding is necessary to improve the quality of care services?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
介護難民,Caregiving refugees,現行の政策によって介護難民問題は解決できると考えますか？,Do you think the current policy can solve the problem of nursing care refugees?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
働き方改革,Work Style Reform,あなたは柔軟な労働体制の推進が必要だと考えますか？,Do you think it is necessary to promote a flexible work system?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
働き方改革,Work Style Reform,働き方改革を支援する立場にありますか？,Are you in a position to support work style reform?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
働き方改革,Work Style Reform,労働者保護のための働き方改革が適切に実施されていると感じますか？,Do you feel that work style reforms for worker protection are being properly implemented?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
働き方改革,Work Style Reform,あなたは長時間労働に対する対策が必要だと思いますか？,Do you think measures are needed against long working hours?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
医療崩壊,Medical collapse,政府が医療従事者の負担軽減のためにもっと積極的に支援するべきだと思いますか？「はい」または「いいえ」,"Do you think the government should be more proactive in supporting the reduction of the burden on healthcare workers? ""Yes"" or ""No""?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
医療崩壊,Medical collapse,「医療の崩壊を避けるために、自宅での治療を推進すべきだと考えますか？「はい」または「いいえ」,"""Do you think we should promote treatment at home to avoid the collapse of medical care? Answer 'yes' or 'no'.""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
医療崩壊,Medical collapse,医療体制の強化のために税金を増やすことを支持しますか？「はい」または「いいえ」,"Do you support increasing taxes to strengthen the healthcare system? ""Yes"" or ""No"".","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
医療崩壊,Medical collapse,医療崩壊を避けるために、特定の病院をコロナ専門にすることに同意しますか？「はい」または「いいえ」,"Do you agree to designate specific hospitals as coronavirus specialists to avoid the collapse of medical care? ""Yes"" or ""No""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
原発再稼働,Restarting nuclear power plants,原発再稼働はエネルギー政策上必要だと思いますか？,Do you think that restarting nuclear power plants is necessary for energy policy?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
原発再稼働,Restarting nuclear power plants,原発再稼働による経済効果を重視しますか？,Do you value the economic effects of restarting nuclear power plants?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
原発再稼働,Restarting nuclear power plants,原発再稼働の安全性に対するリスクは許容範囲内ですか？,Is the risk associated with the safety of restarting nuclear power plants within acceptable limits?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
原発再稼働,Restarting nuclear power plants,再生可能エネルギーの普及よりも原発再稼働を優先すべきだと思いますか？,Do you think that reactivating nuclear power plants should be prioritized over the spread of renewable energy?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
原発再稼働,Restarting nuclear power plants,原発を再開することに賛成していますか？,Do you agree with restarting nuclear power plants?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
地方創生,Regional Revitalization,「地方創生を実現するために、都市部からの人口の流れを推進することに賛成ですか？」,"""Do you agree with promoting the flow of population from urban areas to achieve regional revitalization?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
地方創生,Regional Revitalization,地方創生のためには、国が積極的に財政支援を行うべきだと思いますか？,Do you think the government should actively provide financial support for regional revitalization?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
地方創生,Regional Revitalization,地方創生に向けて、地方での起業や新産業の育成を進めるべきだと考えますか？,Do you think we should promote entrepreneurship and the development of new industries in local areas for regional revitalization?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
地方創生,Regional Revitalization,地方創生の実現には、地方特産品のブランド化や観光資源の開発が必要だと考えますか？,Do you think that the realization of regional revitalization requires the branding of local specialty products and the development of tourism resources?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
地方創生,Regional Revitalization,地方創生を実現するために、地方自治体が自分で財源を得るべきだと考えますか？,Do you think that local governments should secure their own financial resources in order to realize regional revitalization?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
女性の社会進出,Advancement of women in society,女性が家庭と職業を両立させることは、生産性を全体的に向上させると信じますか？,Do you believe that women balancing home and work improves overall productivity?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
女性の社会進出,Advancement of women in society,女性の社会進出が進むことで、男性の機会が奪われると思いますか？,"Do you think that as women advance in society, opportunities for men are taken away?","{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
女性の社会進出,Advancement of women in society,女性が社会で働くことを支持しますか？,Do you support women working in society?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
女性の社会進出,Advancement of women in society,女性のリーダーシップは男性のそれと同等またはそれ以上に効果的だと思いますか？,Do you think women's leadership is as effective as or more effective than that of men?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
女性の社会進出,Advancement of women in society,企業は女性のワークライフバランスを支援するための政策を導入すべきだと思いますか？,Do you think companies should implement policies to support women's work-life balance?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
教育格差,Educational disparity,学習支援のための公的資金増加に賛成しますか？,Do you support increasing public funds for learning support?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
教育格差,Educational disparity,教育格差を解消するためには、富裕層への課税を強化すべきだと思いますか？,"Do you think that in order to eliminate educational disparities, taxation on the wealthy should be increased?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜を見る会,Cherry Blossom Viewing Party,「桜を見る会」の開催にかかる公費は無駄遣いだと考えますか？,"Do you think that the public funds spent on the ""Cherry Blossom Viewing Party"" are a waste?","{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
桜を見る会,Cherry Blossom Viewing Party,「桜を見る会」が日本の伝統文化を維持するために重要だと思いますか？,"Do you think the ""Cherry Blossom Viewing Party"" is important for maintaining Japanese traditional culture?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜を見る会,Cherry Blossom Viewing Party,「桜を見る会」の開催費用として公費を使うことに賛成していますか？,"Do you agree with using public funds to cover the costs of holding the ""Cherry Blossom Viewing Party""?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜を見る会,Cherry Blossom Viewing Party,「桜を見る会」の招待者選定は明確だと感じますか？,"Do you feel that the selection of invitees for the ""Cherry Blossom Viewing Party"" is clear?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
森友学園問題,Moritomo Gakuen scandal,森友学園問題について、政府の説明を信頼できると思いますか？,Do you think you can trust the government's explanation about the Moritomo Gakuen issue?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
消費税増税,Increase in consumption tax,消費税の引き上げは経済にマイナスだと感じますか？,Do you feel that raising the consumption tax is negative for the economy?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
消費税増税,Increase in consumption tax,消費税の引き上げは社会保障の改善に影響を与えると思いますか？,Do you think that raising the consumption tax will affect the improvement of social security?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
消費税増税,Increase in consumption tax,消費税の増税は生活者の負担を増やすと思いますか？,Do you think that an increase in consumption tax will increase the burden on consumers?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
消費税増税,Increase in consumption tax,消費税を上げることは、国の財政を健全にすると考えますか？,Do you think that raising the consumption tax will stabilize the country's finances?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
消費税増税,Increase in consumption tax,消費税の引き上げは必要だと思いますか？,Do you think it is necessary to raise the consumption tax?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
移民政策,Immigration policy,移民政策による文化的多様性の増加について、あなたはどのように感じますか？歓迎しますか、それとも反対しますか？,How do you feel about the increase in cultural diversity due to immigration policies? Do you welcome it or oppose it?,"{'歓迎する': 'supports', '反対する': 'opposes'}","{'Welcome': 'supports', 'Oppose': 'opposes'}",TRUE
移民政策,Immigration policy,移民政策による経済成長に対して期待感を持っていますか？それとも不安を感じていますか？,Do you have expectations for economic growth due to immigration policies? Or do you feel anxious?,"{'期待している': 'supports', '懸念している': 'opposes'}","{'Looking forward to it.': 'supports', 'I am worried.': 'opposes'}",TRUE
移民政策,Immigration policy,移民政策による人権の問題について、悩んでいますか？それとも問題視していませんか？,Are you troubled by human rights issues caused by immigration policies? Or do you not see it as a problem?,"{'懸念している': 'opposes', '問題ない': 'supports'}","{'I am worried.': 'opposes', 'No problem.': 'supports'}",TRUE
移民政策,Immigration policy,労働力不足を解消するための移民政策を支持しますか？それとも反対しますか？,Do you support immigration policies to alleviate labor shortages? Or are you against it?,"{'賛成': 'supports', '反対': 'opposes'}","{'In favor': 'supports', 'Opposition': 'opposes'}",TRUE
移民政策,Immigration policy,移民政策が社会に与える影響について懸念を抱いていますか？それとも問題ないと考えていますか？,Are you concerned about the impact of immigration policies on society? Or do you think it's not a problem?,"{'懸念している': 'opposes', '問題ない': 'supports'}","{'I am worried.': 'opposes', 'No problem.': 'supports'}",TRUE
貧困問題,Poverty issues,「個々の人々の努力によって貧困問題が解決されるべきだと思いますか？」,"""Do you think that the issue of poverty should be solved through the efforts of each individual?""","{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
貧困問題,Poverty issues,最低賃金の引き上げが貧困問題の解決策だと思いますか？,Do you think raising the minimum wage is a solution to the poverty problem?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
貧困問題,Poverty issues,生活保護の基準を見直し、より厳格にするべきだと思いますか？,Do you think we should review the standards of welfare and make them stricter?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
貧困問題,Poverty issues,子どもの貧困を解消するために、全ての子どもに学校給食を無料で提供すべきだと思いますか？,"Do you think that in order to alleviate child poverty, school meals should be provided for free to all children?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
貧困問題,Poverty issues,社会保障制度を拡充し、貧困層の生活を支えるべきだと思いますか？,Do you think we should expand the social security system and support the lives of the poor?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
選択的夫婦別姓,Selection of separate surnames for married couples,「選択的夫婦別姓制度が伝統や家族制度に負の影響を及ぼすと思いますか？」,"""Do you think the system of allowing married couples to choose separate surnames has a negative impact on tradition and the family system?""","{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
選択的夫婦別姓,Selection of separate surnames for married couples,「選択的夫婦別姓制度は個人の自由を重視すると思われますか？」,"""Do you think the system of allowing married couples to choose separate surnames values individual freedom?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
選択的夫婦別姓,Selection of separate surnames for married couples,「選択的夫婦別姓制度が家族の絆を損なうと感じますか？」,"""Do you feel that the system of allowing married couples to choose separate surnames undermines family bonds?""","{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
選択的夫婦別姓,Selection of separate surnames for married couples,「結婚後の女性の社会進出は選択的夫婦別姓制度によって促進されると考えますか？」,"""Do you think that the social advancement of women after marriage is promoted by the system of optional separate surnames for married couples?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
選択的夫婦別姓,Selection of separate surnames for married couples,選択的夫婦別姓制度を支持しますか？,Do you support the system of allowing married couples to choose different surnames?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
高齢者運転,Elderly driving,高齢者の運転による交通事故の増加を考慮に入れて、運転免許の返納を奨励するべきだとは思いますか？,"Considering the increase in traffic accidents caused by elderly drivers, do you think we should encourage the surrender of driving licenses?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
高齢者運転,Elderly driving,高齢者の運転を規制することは、自由を侵害すると考えますか？,Do you think that regulating the driving of the elderly infringes on their freedom?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
