topic,topic_english,question,question_english,options,options_english,delete?
日本の清潔さ,Cleanliness in Japan,日本の清潔さはその文化に根ざしていると思いますか？,Do you think that cleanliness in Japan is rooted in its culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の清潔さ,Cleanliness in Japan,観光の魅力として日本の清潔さを見ていますか？,Do you see the cleanliness of Japan as a tourist attraction?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の礼儀,Japanese etiquette,「日本の礼儀は日本文化の一部と位置づけられますか？」,Is Japanese etiquette considered a part of Japanese culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の礼儀,Japanese etiquette,「日本の礼儀作法は全世界で評価されていると感じますか？」,"""Do you feel that Japanese etiquette is appreciated worldwide?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の礼儀,Japanese etiquette,他の国は日本の礼儀を尊重するべきだと考えますか？,Do you think other countries should respect Japanese etiquette?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の科学技術,Science and technology in Japan,「日本の科学技術の発展は全社会にプラスだと感じますか？」,"""Do you feel that the development of science and technology in Japan is a positive for the entire society?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の科学技術,Science and technology in Japan,日本の科学技術のスタンダードは世界的に見ても高いと考えますか？,Do you think that the standard of science and technology in Japan is high even when viewed globally?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の科学技術,Science and technology in Japan,「日本の科学技術は将来的にも進歩を続けると考えますか？」,"""Do you think that Japan's science and technology will continue to advance in the future?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の科学技術,Science and technology in Japan,日本の科学技術が他国に影響を及ぼしていると感じますか？,Do you feel that Japan's science and technology is influencing other countries?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の科学技術,Science and technology in Japan,日本の科学技術について、それが革新的だと思いますか？,Do you think that Japan's science and technology is innovative?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の経済,Japan's economy,他の国々は日本の経済から影響を受けていますか？,Are other countries affected by Japan's economy?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
日本の経済,Japan's economy,日本の技術力は全世界から高い評価を受けていますか？,Is Japan's technological prowess highly rated worldwide?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の経済,Japan's economy,日本の経済は世界で最も強力な3つのうちの1つですか？,Is Japan's economy one of the three most powerful in the world?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の経済,Japan's economy,「日本の経済はこれからも拡大すると予想しますか？」,"""Do you expect that Japan's economy will continue to expand in the future?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本の経済,Japan's economy,日本の経済は安定していますか？,Is the economy of Japan stable?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本庭園,Japanese garden,「日本庭園は穏やかな雰囲気を感じると思いますか？」,"""Do you think Japanese gardens give off a calm atmosphere?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本庭園,Japanese garden,日本庭園は日本の精神的な側面を示していると思われますか？,Do you think Japanese gardens represent the spiritual aspect of Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本庭園,Japanese garden,日本庭園は日本の美的観念を表していると思われますか？,Do you think Japanese gardens represent Japanese aesthetic concepts?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本庭園,Japanese garden,「日本庭園の美しさについてどう思いますか？」,"""What do you think about the beauty of Japanese gardens?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
日本庭園,Japanese garden,日本庭園は観光地として訪れる価値がありますか？,Is it worth visiting Japanese gardens as a tourist attraction?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本語,Japanese language,他の言語と比較して、日本語の表現力は豊かだと思いますか？,Do you think that Japanese has a richer expressiveness compared to other languages?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本語,Japanese language,日本語の文字（ひらがな、カタカナ、漢字）は見た目が美しいと感じますか？,"Do you find the appearance of Japanese characters (Hiragana, Katakana, Kanji) beautiful?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本語,Japanese language,日本語は魅力的な言語と言えますか？,Can Japanese be considered an attractive language?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本語,Japanese language,日本語は国際社会で広く受け入れられていますか？,Is Japanese widely accepted in the international community?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本酒,Japanese sake,他のアルコール飲料と比較して、日本酒が優れていると思いますか？,Do you think sake is superior compared to other alcoholic beverages?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本酒,Japanese sake,日本酒は日本の文化の象徴だと思いますか？,Do you think sake is a symbol of Japanese culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本酒,Japanese sake,日本酒は美味しいと思いますか？,Do you think sake is delicious?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
日本酒,Japanese sake,他の酒と比べて、日本酒の製法はより複雑だと考えますか？,Do you think the production process of sake is more complex compared to other alcohols?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
日本酒,Japanese sake,日本酒はもっと国際的に評価されるべきだと思いますか？,Do you think sake should be more internationally recognized?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜,Cherry Blossoms,桜の花びらが舞う風景は美しいと感じる？,Do you feel that the scenery of cherry blossom petals dancing is beautiful?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜,Cherry Blossoms,桜の美しさと儚さが日本人の美意識を表現していると思われますか？,Do you think the beauty and transience of cherry blossoms express the aesthetic sense of the Japanese?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜,Cherry Blossoms,桜は日本の春を表現する花だと思われますか？,Do you think cherry blossoms represent spring in Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜,Cherry Blossoms,桜の花見は日本の風物詩だと思いますか？,Do you think cherry blossom viewing is a symbol of Japanese culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
桜,Cherry Blossoms,桜は日本の国花だと思いますか？,Do you think cherry blossoms are the national flower of Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
歌舞伎,Kabuki,観光地としての歌舞伎は人気が高いですか？,Is Kabuki popular as a tourist attraction?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
歌舞伎,Kabuki,「日本の文化遺産には歌舞伎が含まれていますか？」,"""Is Kabuki included in Japan's cultural heritage?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
歌舞伎,Kabuki,「歌舞伎は日本の伝統的な舞台表現の一つですか？」,"""Is Kabuki one of the traditional stage performances in Japan?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
歌舞伎,Kabuki,歌舞伎はその派手さと劇的な物語展開で一般的に知られていますか？,Is Kabuki generally known for its flamboyance and dramatic storytelling?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
漫画,Manga,漫画はお好きですか？,Do you like manga?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
漫画,Manga,あなたは漫画を芸術として評価しますか？,Do you appreciate manga as an art form?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
漫画,Manga,あなたは周期的に漫画を読むことがありますか？,Do you occasionally read manga?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",TRUE
漫画,Manga,あなたの見解では、漫画は日本文化の重要な部分を占めていますか？,"In your opinion, does manga occupy an important part of Japanese culture?","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
漫画,Manga,漫画は子供専用だとあなたは考えていますか？,Do you think that comics are only for children?,"{'はい': 'opposes', 'いいえ': 'supports'}","{'Yes': 'opposes', 'No': 'supports'}",
相撲,Sumo,「相撲は伝統的なスポーツと見なせますか？」,"""Can sumo be considered a traditional sport?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
相撲,Sumo,「相撲は日本のスポーツ文化に含まれると思いますか？」,"""Do you think sumo is included in Japan's sports culture?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
相撲,Sumo,相撲は日本の国技として認識されていると思いますか？,Do you think sumo is recognized as a national sport in Japan?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
相撲,Sumo,日本の文化を表現するものとして相撲を見ますか？,Do you watch sumo wrestling as a representation of Japanese culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
相撲,Sumo,相撲は歴史的な価値がありますか？,Does sumo wrestling have historical value?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
神社仏閣,Shrine Temples,神社仏閣の保存と維持には公的資金を使うべきですか？,Should public funds be used for the preservation and maintenance of shrines and temples?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
神社仏閣,Shrine Temples,日本の伝統的な美学は神社仏閣の建築美に表現されていますか？,Is the traditional aesthetics of Japan expressed in the architectural beauty of shrines and temples?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
神社仏閣,Shrine Temples,神社仏閣を訪れることは、日本の歴史と文化の理解に寄与しますか？,Does visiting shrines and temples contribute to the understanding of Japanese history and culture?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
神社仏閣,Shrine Temples,「神社仏閣は日本の文化遺産の重要な部分と考えられますか？」,"""Is it considered that shrines and temples are an important part of Japan's cultural heritage?""","{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
神社仏閣,Shrine Temples,神社仏閣は観光の価値があると思いますか？,Do you think shrines and temples are worth visiting for tourism?,"{'はい': 'supports', 'いいえ': 'opposes'}","{'Yes': 'supports', 'No': 'opposes'}",
